"importdefinitions_definitions","Import Definitions"
"importdefinitions_provider","Provider"
"importdefinitions_provider_settings","Provider Settings"
"importdefinitions_csv_example","CSV Example"
"importdefinitions_csv_enclosure","Enclosure"
"importdefinitions_csv_delimiter","Delimiter"
"importdefinitions_cleaner","Cleaner"
"importdefinitions_mapping_settings","Mapping"
"importdefinitions_toColumn","To Column"
"importdefinitions_fromColumn","From Column"
"importdefinitions_primaryIdentifier","Primary"
"importdefinitions_config","Config"
"importdefinitions_interpreters","Interpreter"
"importdefinitions_sql_host","Host"
"importdefinitions_sql_username","Username"
"importdefinitions_sql_password","Password"
"importdefinitions_sql_database","Database"
"importdefinitions_sql_port","Port"
"importdefinitions_sql_adapter","Adapter"
"importdefinitions_sql_query","Query"
"importdefinitions_json_example","Json Example"
